Table 78,,,,,,
Full-time Law Enforcement Employees ,,,,,,
"by State by City, 2006",,,,,,
State,City,Total law enforcement employees,Total officers,Total civilians,,
,New Hanover Township,4,4,0,,
,New Milford,39,36,3,,
,New Providence,32,26,6,,
,Newton,32,24,8,,
,North Arlington,40,32,8,,
,North Bergen Township,139,120,19,,
,North Brunswick Township,102,85,17,,
,North Caldwell,21,16,5,,
,Northfield,23,22,1,,
,North Haledon,23,18,5,,
,North Hanover Township,9,9,0,,
,North Plainfield,52,46,6,,
,Northvale,15,14,1,,
,North Wildwood,38,30,8,,
,Norwood,14,13,1,,
,Nutley Township,79,65,14,,
,Oakland,29,23,6,,
,Oaklyn,14,13,1,,
,Ocean City,77,62,15,,
,Ocean Gate,7,6,1,,
,Oceanport,20,15,5,,
,"Ocean Township, Monmouth County",77,62,15,,
,"Ocean Township, Ocean County",29,19,10,,
,Ogdensburg,7,7,0,,
,Old Bridge Township,139,104,35,,
,Old Tappan,14,13,1,,
,Oradell,23,22,1, ,
,Orange,124,104,20,,
,Oxford Township,5,4,1,,
,Palisades Park,38,31,7,,
,Palmyra,18,16,2,,
,Paramus,113,91,22,,
,Park Ridge,19,18,1,,
,Parsippany-Troy Hills Township,132,107,25,,
,Passaic,222,189,33,,
,Paterson,545,457,88,,
,Paulsboro,22,20,2,,
,Peapack and Gladstone,10,9,1,,
,Pemberton,8,7,1,,
,Pemberton Township,65,57,8,,
,Pennington,7,6,1,,
,Pennsauken Township,121,93,28,,
,Penns Grove,22,16,6,,
,Pennsville Township,26,24,2,,
,Pequannock Township,35,30,5,,
,Perth Amboy,156,125,31,,
,Phillipsburg,38,35,3,,
,Pine Beach,7,6,1,,
,Pine Hill,24,22,2,,
,Pine Valley,4,4,0,,
,Piscataway Township,111,92,19,,
,Pitman,17,16,1,,
,Plainfield,186,153,33,,
,Plainsboro Township,45,32,13,,
,Pleasantville,72,56,16,,
,Plumsted Township,12,11,1,,
,Pohatcong Township,15,14,1,,
,Point Pleasant,41,33,8,,
,Point Pleasant Beach,32,25,7,,
,Pompton Lakes,29,25,4,,
,Princeton,44,34,10,,
,Princeton Township,44,35,9,,
,Prospect Park,17,16,1,,
,Rahway,87,80,7,,
,Ramsey,39,33,6,,
,Randolph Township,49,40,9,,
,Raritan,24,19,5,,
,Raritan Township,40,37,3,,
,Readington Township,28,26,2,,
,Red Bank,45,41,4,,
,Ridgefield,29,27,2,,
,Ridgefield Park,39,30,9,,
,Ridgewood,48,44,4,,
,Ringwood,28,23,5,,
,Riverdale,21,17,4,,
,River Edge,26,22,4,,
,Riverside Township,15,15,0,,
,Riverton,7,6,1,,
,River Vale Township,22,20,2,,
,Rochelle Park Township,27,21,6,,
,Rockaway,15,14,1,,
,Rockaway Township,68,56,12,,
,Roseland,32,27,5,,
,Roselle,67,56,11,,
,Roselle Park,40,35,5,,
,Roxbury Township,55,48,7,,
,Rumson,22,17,5,,
,Runnemede,22,20,2,,
,Rutherford,49,43,6,,
,Saddle Brook Township,37,34,3,,
,Saddle River,21,16,5,,
,Salem,29,22,7,,
,Sayreville,105,87,18,,
,Scotch Plains Township,51,44,7,,
,Sea Bright,12,11,1,,
,Sea Girt,16,12,4,,
,Sea Isle City,31,24,7,,
,Seaside Heights,30,23,7,,
,Seaside Park,20,15,5,,
,Secaucus,69,60,9,,
,Ship Bottom,12,11,1,,
,Shrewsbury,21,16,5,,
,Somerdale,14,13,1,,
,Somers Point,32,26,6,,
,Somerville,39,32,7,,
,South Amboy,35,29,6,,
,South Bound Brook,14,13,1,,
,South Brunswick Township,107,82,25,,
,South Hackensack Township,18,17,1,,
,South Harrison Township,5,5,0,,
,South Orange,63,55,8,,
,South Plainfield,72,55,17,,
,South River,39,31,8,,
,South Toms River,13,12,1,,
,Sparta Township,46,37,9,,
,Spotswood,23,19,4,,
,Springfield,47,41,6,,
,Springfield Township,10,9,1,,
,Spring Lake,19,14,5,,
,Spring Lake Heights,12,12,0,,
,Stafford Township,81,56,25,,
,Stanhope,8,7,1,,
,Stillwater Township,6,5,1,,
,Stone Harbor,22,15,7,,
,Stratford,14,14,0,,
,Summit,60,51,9,,
,Surf City,10,10,0,,
,Swedesboro,8,7,1,,
,Teaneck Township,115,100,15,,
,Tenafly,43,38,5,,
,Tewksbury Township,12,11,1,,
,Tinton Falls,42,41,1,,
,Toms River Township,213,165,48,,
,Totowa,30,27,3,,
,Trenton,419,359,60,,
,Tuckerton,10,10,0,,
,Union Beach,20,16,4,,
,Union City,224,175,49,,
,Union Township,189,135,54,,
,Upper Saddle River,24,18,6,,
,Ventnor City,51,39,12,,
,Vernon Township,44,34,10,,
,Verona,37,31,6,,
,Vineland,174,149,25,,
,Voorhees Township,66,51,15,,
,Waldwick,25,20,5,,
,Wallington,26,24,2,,
,Wall Township,84,71,13,,
,Wanaque,28,24,4,,
,Warren Township,35,28,7,,
,Washington,14,13,1,,
,"Washington Township, Bergen County",24,24,0,,
,"Washington Township, Gloucester County",92,85,7,,
,"Washington Township, Mercer County",36,26,10,,
,"Washington Township, Morris County",37,35,2,,
,"Washington Township, Warren County",14,13,1,,
,Watchung,35,28,7,,
,Waterford Township,28,25,3,,
,Wayne Township,142,116,26, ,
,Weehawken Township,63,58,5,,
,Wenonah,6,6,0,,
,Westampton Township,25,22,3,,
,West Amwell Township,6,5,1,,
,West Caldwell Township,34,29,5,,
,West Deptford Township,45,40,5,,
,Westfield,73,59,14,,
,West Long Branch,25,20,5,,
,West Milford Township,55,48,7,,
,West New York,137,126,11,,
,West Orange,127,111,16,,
,West Paterson,31,26,5,,
,Westville,11,10,1,,
,West Wildwood,6,6,0,,
,West Windsor Township,56,45,11,,
,Westwood,30,26,4,,
,Wharton,23,21,2,,
,Wildwood,58,46,12,,
,Wildwood Crest,30,22,8,,
,Willingboro Township,83,71,12,,
,Winfield Township,10,10,0,,
,Winslow Township,96,76,20,,
,Woodbine,2,2,0,,
,Woodbridge Township,250,201,49,,
,Woodbury,30,27,3,,
,Woodbury Heights,8,7,1,,
,Woodcliff Lake,19,18,1,,
,Wood-Ridge,27,22,5,,
,Woodstown,10,9,1,,
,Woolwich Township,18,17,1,,
,Wyckoff Township,33,26,7,,
NEW MEXICO,Alamogordo,121,72,49,,
,Albuquerque,"1,384",972,412,,
,Angel Fire,6,5,1,,
,Aztec,15,11,4,,
,Bayard,6,6,0,,
,Belen,30,20,10,,
,Bernalillo,17,15,2,,
,Bloomfield,22,17,5,,
,Bosque Farms,12,11,1,,
,Capitan,3,2,1,,
,Carlsbad,74,54,20,,
,Clayton,17,6,11,,
,Cloudcroft,3,3,0,,
,Clovis,83,64,19,,
,Cuba,6,5,1,,
,Deming,43,38,5,,
,Estancia,5,3,2,,
,Eunice,9,5,4,,
,Farmington,155,108,47,,
,Grants,18,14,4,,
,Jal,9,5,4,,
,Las Cruces,242,165,77,,
,Las Vegas,53,38,15,,
,Lordsburg,12,9,3,,
,Los Lunas,37,27,10,,
,Lovington,29,20,9,,
,Melrose,2,2,0,,
,Mesilla,8,8,0,,
,Milan,12,7,5,,
,Questa,3,2,1,,
,Rio Rancho,184,119,65,,
,Roswell,109,78,31,,
,Ruidoso,34,19,15,,
,Ruidoso Downs,17,9,8,,
,Santa Clara,8,7,1,,
,Santa Rosa,14,7,7,,
,Silver City,38,33,5,,
,Socorro,30,21,9,,
,Springer,3,3,0,,
,Sunland Park,24,21,3,,
,Taos,28,21,7,,
,Tatum,9,4,5,,
,Texico,3,3,0,,
,Truth or Consequences,17,15,2,,
,Tucumcari,23,13,10,,
,Tularosa,11,7,4,,
NEW YORK,Addison Town and Village,2,2,0,,
,Akron Village,2,2,0,,
,Albany,456,338,118,,
,Alexandria Bay Village,2,2,0,,
,Alfred Village,6,6,0,,
,Allegany Village,3,2,1,,
,Altamont Village,1,1,0,,
,Amherst Town,181,149,32,,
,Amity Town and Belmont Village,1,1,0,,
,Amityville Village,29,26,3,,
,Amsterdam,38,37,1,,
,Angola Village,3,3,0,,
,Arcade Village,6,6,0,,
,Ardsley Village,19,19,0,,
,Asharoken Village,3,3,0,,
,Attica  Village,5,5,0,,
,Auburn,78,69,9,,
,Avon Village,5,5,0,,
,Baldwinsville Village,17,14,3,,
,Ballston Spa Village,10,6,4,,
,Batavia,37,32,5,,
,Bath Village,15,12,3,,
,Beacon,34,32,2,,
,Bedford Town,50,45,5,,
,Bethlehem Town,61,42,19,,
,Binghamton,153,143,10,,
,Blooming Grove Town,17,15,2,,
,Bolivar Village,1,1,0,,
,Boonville Village,3,3,0,,
,Briarcliff Manor Village,20,20,0,,
,Brighton Town,47,41,6,,
,Brockport Village,12,11,1,,
,Bronxville Village,24,21,3,,
,Buchanan Village,6,6,0,,
,Buffalo,901,753,148,,
,Caledonia Village,2,2,0,,
,Cambridge Village,4,4,0,,
,Camden Village,3,3,0,,
,Camillus Town and Village,26,23,3,,
,Canajoharie Village,5,5,0,,
,Canandaigua,30,26,4,,
,Canastota Village,8,7,1,,
,Canton Village,11,9,2,,
,Carmel Town,42,34,8,,
,Carthage Village,6,6,0,,
,Catskill Village,16,15,1,,
,Cayuga Heights Village,7,6,1,,
,Cazenovia Village,5,4,1,,
,Centre Island Village,8,8,0,,
,Chatham Village,5,4,1,,
,Cheektowaga Town,166,125,41,,
,Chester Town,12,12,0,,
,Chester Village,12,11,1,,
,Chittenango Village,7,6,1,,
,Cicero Town,12,11,1,,
,Clarkstown Town,197,172,25,,
,Clayton Village,3,3,0,,
,Clay Town,24,19,5,,
,Clifton Springs Village,2,2,0,,
,Cobleskill Village,11,11,0,,
,Coeymans Town,8,5,3,,
,Cohoes,46,33,13,,
,Colonie Town,154,109,45,,
,Cooperstown Village,4,4,0,,
,Corning,26,22,4,,
,Cornwall Town,13,9,4,,
,Cortland,47,44,3,,
,Crawford Town,11,10,1,,
,Croton-on-Hudson Village,21,20,1,,
,Cuba Town,4,4,0,,
,Dansville Village,10,8,2,,
,Deerpark Town,4,4,0,,
,Delhi Village,4,4,0,,
,Depew Village,36,29,7,,
,Deposit Village,2,2,0,,
,Dewitt Town,39,35,4,,
,Dobbs Ferry Village,29,28,1,,
,Dryden Village,7,6,1,,
,Dunkirk,37,36,1,,
,East Aurora-Aurora Town,22,17,5,,
,Eastchester Town,59,52,7,,
,East Fishkill Town,38,29,9,,
,East Greenbush Town,32,24,8,,
,East Hampton Town,85,59,26,,
,East Hampton Village,30,26,4,,
,East Rochester Village,9,8,1,,
,East Syracuse Village,12,10,2,,
,Eden Town,5,4,1,,
,Ellenville Village,13,11,2,,
,Ellicott Town,13,12,1,,
,Ellicottville,3,3,0,,
,Elmira,91,78,13,,
,Elmira Heights Village,10,10,0,,
,Elmira Town,3,3,0,,
,Elmsford Village,18,18,0,,
,Endicott Village,38,34,4,,
,Evans Town,27,22,5,,
,Fairport Village,11,10,1,,
,Fallsburg Town,25,21,4,,
,Floral Park Village,45,33,12,,
,Florida Village,1,1,0,,
,Fort Edward Village,5,5,0,,
,Fort Plain Village,4,4,0,,
,Frankfort Town,2,2,0,,
,Franklinville Village,2,2,0,,
,Fredonia Village,19,15,4,,
,Freeport Village,107,91,16,,
,Fulton City,37,35,2,,
,Garden City Village,66,53,13,,
,Gates Town,37,30,7,,
,Geddes Town,18,16,2,,
,Geneseo Village,8,8,0,,
,Geneva,41,36,5,,
,Glen Cove,54,50,4,,
,Glens Falls,37,31,6,,
,Glenville Town,36,21,15,,
,Gloversville,33,31,2,,
,Goshen Town,13,12,1,,
,Goshen Village,19,17,2,,
,Gouverneur Village,12,8,4,,
,Granville Village,6,6,0,,
,Great Neck Estates Village,15,12,3,,
,Greece Town,99,92,7,,
,Greenburgh Town,138,119,19,,
,Greene Village,2,1,1,,
,Green Island Village,3,2,1,,
,Greenwood Lake Village,9,6,3,,
,Guilderland Town,52,36,16,,
,Hamburg Town,58,58,0,,
,Hamburg Village,16,14,2,,
,Hamilton Village,4,4,0,,
,Harriman Village,7,7,0,,
,Harrison Town,88,79,9,,
,Hastings-on-Hudson Village,21,21,0,,
,Haverstraw Town,75,71,4,,
,Hempstead Village,147,118,29,,
,Herkimer Village,22,21,1,,
,Highland Falls Village,14,10,4,,
,Hoosick Falls Village,5,3,2,,
,Horseheads Village,14,11,3,,
,Hudson Falls Village,16,12,4,,
,Hunter Town,2,2,0,,
,Huntington Bay Village,6,6,0,,
,Hyde Park Town,18,15,3,,
,Ilion Village,20,18,2,,
,Inlet Town,2,2,0,,
,Irondequoit Town,69,57,12,,
,Irvington Village,25,23,2,,
,Jamestown,77,64,13,,
,Johnson City Village,42,37,5,,
,Kenmore Village,24,24,0,,
,Kensington Village,6,6,0,,
,Kent Town,26,21,5,,
,Kings Point Village,25,23,2,,
,Kirkland Town,7,6,1,,
,Lackawanna,66,46,20,,
,Lake Placid Village,18,14,4,,
,Lake Success Village,24,21,3,,
,Lakewood-Busti,9,9,0,,
,Lancaster Town,62,47,15,,
,Larchmont Village,31,28,3,,
,Le Roy Village,11,8,3,,
,Lewiston Town and Village,11,10,1,,
,Liberty Village,19,16,3,,
,Liverpool Village,6,5,1,,
,Lloyd Harbor Village,12,11,1,,
,Lloyd Town,14,11,3,,
,Lockport,51,48,3,,
,Lowville Village,6,6,0,,
,Lynbrook Village,51,45,6,,
,Lyons Village,12,10,2,,
,Macedon Town and Village,5,5,0,,
,Malone Village,14,14,0,,
,Malverne Village,22,22,0,,
,Mamaroneck Town,41,40,1,,
,Mamaroneck Village,52,52,0,,
,Manlius Town,43,36,7,,
,Marcellus Village,3,1,2,,
,Marlborough Town,10,8,2,,
,Massena Village,26,22,4,,
,Maybrook Village,2,2,0,,
,Mechanicville,13,12,1,,
,Medina Village,12,11,1,,
,Menands Village,13,10,3,,
,Middleport Village,3,3,0,,
,Middletown,79,66,13,,
,Mohawk Village,2,2,0,,
,Monroe Village,23,18,5,,
,Montgomery Town,12,11,1,,
,Monticello Village,26,24,2,,
,Moriah Town,2,2,0,,
,Mount Kisco Village,37,33,4,,
,Mount Morris Village,4,4,0,,
,Mount Pleasant Town,56,47,9,,
,Mount Vernon,210,183,27,,
,Newark Village,16,15,1,,
,New Berlin Town,1,1,0,,
,Newburgh,113,102,11,,
,Newburgh Town,72,59,13,,
,New Castle Town,46,42,4,,
,New Paltz Town and Village,24,20,4,,
,New Rochelle,248,182,66,,
,New Windsor Town,56,44,12,,
,New York,"53,473","35,690","17,783",,
,Niagara Falls,155,141,14,,
,Niagara Town,7,6,1,,
,Niskayuna Town,41,30,11,,
,Nissequogue Village,3,3,0,,
,North Castle Town,42,39,3,,
,North Greenbush Town,20,18,2,,
,Northport Village,19,15,4,,
,North Syracuse Village,15,13,2,,
,North Tonawanda,58,48,10,,
,Norwich,20,19,1,,
,Ocean Beach Village,3,3,0,,
,Ogdensburg,34,29,5,,
,Old Brookville Village,51,40,11,,
,Old Westbury Village,30,25,5,,
,Olean,40,33,7,,
,Oneonta City,26,26,0,,
,Orangetown Town,96,91,5,,
,Orchard Park Town,37,32,5,,
,Ossining Town,19,17,2,,
,Ossining Village,67,58,9,,
,Oswego City,47,42,5,,
,Owego Village,9,8,1,,
,Oxford Village,1,1,0,,
,Oyster Bay Cove Village,11,11,0,,
,Painted Post Village,4,4,0,,
,Palmyra Village,6,5,1,,
,Peekskill,75,60,15,,
,Pelham Manor Village,29,28,1,,
,Pelham Village,30,27,3,,
,Penn Yan Village,12,11,1,,
,Perry Village,7,6,1,,
,Piermont Village,8,8,0,,
,Plattsburgh City,59,50,9,,
,Pleasantville Village,28,26,2,,
,Port Chester Village,65,62,3,,
,Port Dickinson Village,5,4,1,,
,Port Jervis,33,31,2,,
,Portville Village,1,1,0,,
,Port Washington,70,63,7,,
,Potsdam Village,18,14,4,,
,Poughkeepsie,136,101,35,,
,Poughkeepsie Town,97,87,10,,
,Pulaski Village,2,2,0,,
,Quogue Village,14,14,0,,
,Ramapo Town,138,114,24,,
,Rensselaer City,31,25,6,,
,Riverhead Town,103,82,21,,
,Rochester,922,725,197,,
,Rockville Centre Village,60,50,10,,
,Rome,81,77,4,,
,Rosendale Town,3,3,0,,
,Rotterdam Town,64,45,19,,
,Rouses Point Village,3,3,0,,
,Rye,44,40,4,,
,Rye Brook Village,27,26,1,,
,Sag Harbor Village,12,11,1,,
,Salamanca,18,18,0,,
,Sands Point Village,21,21,0,,
,Saranac Lake Village,14,14,0,,
,Saratoga Springs,87,71,16,,
,Saugerties Town,20,15,5,,
,Saugerties Village,11,11,0,,
,Scarsdale Village,45,39,6,,
,Schenectady,198,155,43,,
,Schodack Town,12,10,2,,
,Schoharie Village,1,1,0,,
,Scotia Village,14,13,1,,
,Seneca Falls Village,18,14,4,,
,Shandaken Town,4,4,0,,
,Shawangunk Town,4,4,0,,
,Sherrill,4,4,0,,
,Sidney Village,9,9,0,,
,Silver Creek Village,6,5,1,,
,Skaneateles Village,5,5,0,,
,Sleepy Hollow Village,25,25,0,,
,Sodus Village,1,1,0,,
,Solvay Village,15,14,1,,
,Southampton Town,139,100,39,,
,Southampton Village,48,37,11,,
,South Glens Falls Village,7,7,0,,
,South Nyack Village,6,6,0,,
,Southold Town,73,56,17,,
,Spring Valley Village,69,61,8,,
,Stony Point Town,31,30,1,,
,Suffern Village,31,26,5,,
,Syracuse,549,485,64,,
,Tarrytown Village,41,34,7,,
,Tonawanda,32,27,5,,
,Tonawanda Town,154,105,49,,
,Troy,133,117,16,,
,Tuckahoe Village,29,26,3,,
,Tuxedo Park Village,5,2,3,,
,Tuxedo Town,16,13,3,,
,Ulster Town,30,27,3,,
,Utica,183,165,18,,
,Vernon Village,1,1,0,,
,Vestal Town,41,37,4,,
,Wallkill Town,43,37,6,,
,Walton Village,7,6,1,,
,Wappingers Falls Village,3,2,1,,
,Warsaw Village,6,6,0,,
,Warwick Town,41,34,7,,
,Washingtonville Village,18,16,2,,
,Waterford Town and Village,13,10,3,,
,Waterloo Village,8,7,1,,
,Watertown,63,59,4,,
,Watervliet,30,26,4,,
,Watkins Glen Village,4,4,0,,
,Waverly Village,11,10,1,,
,Wayland Village,2,2,0,,
,Webb Town,5,5,0,,
,Webster Town and Village,39,33,6,,
,Wellsville Village,15,11,4,,
,Westfield Village,5,5,0,,
,Westhampton Beach Village,20,18,2,,
,West Seneca Town,78,64,14,,
,Whitehall Village,3,3,0,,
,White Plains,232,218,14,,
,Whitesboro Village,8,8,0,,
,Whitestown Town,5,5,0,,
,Windham Town,3,3,0,,
,Woodbury Town,26,22,4,,
,Woodstock Town,13,10,3,,
,Yonkers,682,609,73,,
,Yorktown Town,65,55,10,,
,Yorkville Village,3,3,0,,
NORTH CAROLINA,Aberdeen,23,21,2,,
,Ahoskie,21,16,5,,
,Albemarle,55,49,6,,
,Andrews,6,6,0,,
,Angier,13,12,1,,
,Apex,57,45,12,,
,Archdale,28,23,5,,
,Asheboro,76,70,6,,
,Asheville,238,193,45,,
,Atlantic Beach,22,18,4,,
,Aulander,1,1,0,,
,Aurora,2,2,0,,
,Ayden,22,17,5,,
,Badin,5,5,0,,
,Bailey,3,3,0,,
,Bald Head Island,12,11,1,,
,Banner Elk,9,8,1,,
,Beaufort,17,16,1,,
,Beech Mountain,13,9,4,,
,Belhaven,12,8,4,,
,Belmont,41,33,8,,
,Benson,14,13,1,,
,Bethel,6,6,0,,
,Beulaville,6,5,1,,
,Biltmore Forest,14,12,2,,
,Biscoe,9,8,1,,
,Black Creek,3,3,0,,
,Black Mountain,19,15,4,,
,Bladenboro,6,6,0,,
,Blowing Rock,15,11,4,,
,Boiling Spring Lakes,8,7,1,,
,Boiling Springs,7,7,0,,
,Bolton,1,1,0,,
,Boone,42,35,7,,
,Boonville,3,3,0,,
,Brevard,30,24,6,,
,Broadway,4,4,0,,
,Brookford,1,1,0,,
,Bryson City,7,7,0,,
,Bunn,2,2,0,,
,Burgaw,10,9,1,,
,Burlington,150,110,40,,
,Burnsville,9,8,1,,
,Butner,49,42,7,,
,Cameron,1,1,0,,
,Candor,5,5,0,,
,Canton,18,13,5,,
,Cape Carteret,5,5,0,,
,Carolina Beach,30,27,3,,
,Carrboro,38,36,2,,
,Carthage,12,11,1,,
,Cary,184,152,32,,
,Caswell Beach,4,4,0,,
,Catawba,2,2,0,,
,Chadbourn,9,8,1,,
,Chapel Hill,131,110,21,,
,Charlotte-Mecklenburg1,"2,007","1,558",449,,
,Cherryville,23,18,5,,
,China Grove,12,12,0,,
,Chocowinity,3,3,0,,
,Claremont,9,8,1,,
,Clayton,43,39,4,,
,Cleveland,4,4,0,,
,Clinton,38,35,3,,
,Clyde,4,4,0,,
,Coats,5,5,0,,
,Columbus,6,6,0,,
,Concord,164,139,25,,
,Conover,24,21,3,,
,Conway,1,1,0,,
,Cooleemee,3,3,0,,
,Cornelius,55,40,15,,
,Cramerton,11,11,0,,
,Creedmoor,17,13,4,,
,Dallas,17,13,4,,
,Davidson,17,16,1,,
,Denton,6,6,0,,
,Dobson,5,5,0,,
,Drexel,5,5,0,,
,Dunn,49,38,11,,
,Durham,599,458,141,,
,East Bend,2,2,0,,
,East Spencer,5,5,0,,
,Eden,57,47,10,,
,Edenton,16,14,2,,
,Elizabeth City,54,43,11,,
,Elizabethtown,15,14,1,,
,Elkin,20,16,4,,
,Elon,15,14,1,,
,Emerald Isle,21,16,5,,
,Enfield,6,5,1,,
,Erwin,10,9,1,,
,Fair Bluff,3,3,0,,
,Fairmont,14,10,4,,
,Farmville,19,14,5,,
,Fayetteville,497,308,189,,
,Fletcher,14,13,1,,
,Forest City,37,31,6,,
,Four Oaks,5,5,0,,
,Foxfire Village,2,2,0,,
,Franklin,17,16,1,,
,Franklinton,11,10,1,,
,Fremont,3,3,0,,
,Fuquay-Varina,32,27,5,,
,Garland,2,2,0,,
,Garner,62,56,6,,
,Garysburg,2,2,0,,
,Gaston,2,2,0,,
,Gastonia,175,147,28,,
,Gibsonville,15,14,1,,
,Glen Alpine,2,2,0,,
,Goldsboro,111,101,10,,
,Graham,36,33,3,,
,Granite Falls,14,12,2,,
,Granite Quarry,6,6,0,,
,Greensboro,664,530,134,,
,Greenville,210,170,40,,
,Grifton,7,7,0,,
,Hamlet,21,17,4,,
,Havelock,34,27,7,,
,Haw River,8,8,0,,
,Henderson,56,47,9,,
,Hendersonville,48,37,11,,
,Hertford,8,7,1,,
,Hickory,134,108,26,,
,Highlands,11,10,1,,
,High Point,256,222,34,,
,Hillsborough,26,24,2,,
,Holden Beach,9,9,0,,
,Holly Ridge,6,6,0,,
,Holly Springs,32,25,7,,
,Hope Mills,41,30,11,,
,Hot Springs,1,1,0,,
,Hudson,12,11,1,,
,Huntersville,69,62,7,,
,Indian Beach,4,4,0,,
,Jackson,3,1,2,,
,Jacksonville,127,103,24,,
,Jefferson,3,3,0,,
,Jonesville,11,10,1,,
,Kannapolis,94,72,22,,
,Kenansville,4,4,0,,
,Kenly,9,9,0,,
,Kernersville,82,63,19,,
,Kill Devil Hills,29,23,6,,
,King,23,21,2,,
,Kings Mountain,38,32,6,,
,Kingstown,2,2,0,,
,Kinston,86,76,10,,
,Kitty Hawk,19,17,2,,
,Knightdale,21,20,1,,
,Kure Beach,11,10,1,,
,La Grange,9,9,0,,
,Lake Lure,10,9,1,,
,Lake Royale,5,5,0,,
,Lake Waccamaw,5,5,0,,
,Landis,10,9,1,,
,Laurel Park,6,6,0,,
,Laurinburg,41,35,6,,
,Leland,25,22,3,,
,Lenoir,71,54,17,,
,Lexington,76,65,11,,
,Liberty,11,10,1,,
,Lilesville,1,1,0,,
,Lillington,13,12,1,,
,Lincolnton,36,31,5,,
,Littleton,3,3,0,,
,Locust,7,6,1,,
,Longview,15,15,0,,
,Louisburg,14,13,1,,
,Lowell,8,8,0,,
,Lumberton,85,75,10,,
,Madison,13,12,1,,
,Maggie Valley,10,9,1,,
,Magnolia,2,2,0,,
,Maiden,15,14,1,,
,Manteo,8,7,1,,
,Marion,28,23,5,,
,Marshall,3,3,0,,
,Mars Hill,5,5,0,,
,Marshville,8,8,0,,
,Matthews,63,52,11,,
,Maxton,15,10,5,,
,Mayodan,16,14,2,,
,Maysville,2,2,0,,
,McAdenville,2,2,0,,
,Mebane,22,19,3,,
,Middlesex,5,5,0,,
,Mint Hill,29,27,2,,
,Mocksville,21,19,2,,
,Monroe,82,76,6,,
,Montreat,5,5,0,,
,Mooresville,61,49,12,,
,Morehead City,47,38,9,,
,Morganton,94,63,31,,
,Morrisville,30,28,2,,
,Mount Airy,53,40,13,,
,Mount Gilead,6,5,1,,
,Mount Holly,37,30,7,,
,Mount Olive,16,15,1,,
,Murfreesboro,15,10,5,,
,Murphy,11,7,4,,
,Nags Head,24,22,2,,
,Nashville,15,14,1,,
,Navassa,3,3,0,,
,New Bern,129,88,41,,
,Newland,5,5,0,,
,Newport,9,9,0,,
,Newton,43,35,8,,
,Newton Grove,3,3,0,,
,Norlina,5,5,0,,
,North Topsail Beach,12,11,1,,
,Northwest,2,2,0,,
,North Wilkesboro,27,23,4,,
,Norwood,7,6,1,,
,Oakboro,4,4,0,,
,Oak Island,29,24,5,,
,Ocean Isle Beach,12,12,0,,
,Old Fort,6,5,1,,
,Oxford,37,31,6,,
,Parkton,2,2,0,,
,Pembroke,18,14,4,,
,Pikeville,3,3,0,,
,Pilot Mountain,10,9,1,,
,Pinebluff,3,3,0,,
,Pinehurst,28,23,5,,
,Pine Knoll Shores,10,9,1,,
,Pine Level,4,4,0,,
,Pinetops,7,5,2,,
,Pineville,47,36,11,,
,Pink Hill,1,1,0,,
,Pittsboro,11,10,1,,
,Plymouth,12,12,0,,
,Princeton,4,4,0,,
,Raeford,16,15,1,,
,Raleigh,810,691,119,,
,Ramseur,7,7,0,,
,Randleman,13,13,0,,
,Ranlo,7,7,0,,
,Red Springs,20,16,4,,
,Reidsville,53,44,9,,
,Richlands,6,6,0,,
,Rich Square,2,2,0,,
,River Bend,5,5,0,,
,Roanoke Rapids,45,42,3,,
,Robbins,6,6,0,,
,Robersonville,5,5,0,,
,Rockingham,39,34,5,,
,Rockwell,4,4,0,,
,Rocky Mount,166,131,35,,
,Rolesville,8,8,0,,
,Roseboro,5,5,0,,
,Rose Hill,4,4,0,,
,Rowland,7,6,1,,
,Roxboro,36,32,4,,
,Rutherfordton,15,15,0,,
,Salisbury,104,85,19,,
,Saluda,4,4,0,,
,Sanford,95,75,20,,
,Scotland Neck,7,5,2,,
,Seagrove,1,1,0,,
,Selma,26,22,4,,
,Seven Devils,5,5,0,,
,Shallotte,12,11,1,,
,Sharpsburg,6,6,0,,
,Shelby,87,71,16,,
,Siler City,24,19,5,,
,Smithfield,35,31,4,,
,Southern Pines,34,26,8,,
,Southern Shores,8,7,1,,
,Southport,11,10,1,,
,Sparta,6,6,0,,
,Spencer,14,13,1,,
,Spindale,14,14,0,,
,Spring Hope,6,6,0,,
,Spring Lake,23,18,5,,
,Spruce Pine,10,10,0,,
,Stallings,20,18,2,,
,Stanfield,4,4,0,,
,Stanley,14,10,4,,
,Stantonsburg,4,4,0,,
,Star,4,4,0,,
,Statesville,83,67,16,,
,Stoneville,5,5,0,,
,St. Pauls,18,13,5,,
,Sugar Mountain,5,5,0,,
,Sunset Beach,11,11,0,,
,Surf City,17,16,1,,
,Swansboro,7,7,0,,
,Sylva,13,12,1,,
,Tabor City,10,9,1,,
,Tarboro,34,28,6,,
,Taylorsville,11,11,0,,
,Taylortown,2,2,0,,
,Thomasville,70,62,8,,
,Topsail Beach,8,7,1,,
,Trent Woods,4,4,0,,
,Troutman,7,7,0,,
,Troy,10,9,1,,
,Tryon,9,7,2,,
,Valdese,13,12,1,,
,Vanceboro,2,2,0,,
,Vass,3,3,0,,
,Wadesboro,25,20,5,,
,Wagram,2,2,0,,
,Wake Forest,49,41,8,,
,Wallace,16,13,3,,
,Walnut Cove,6,6,0,,
